id,value,nearTokenId,createdAt
138502,15690000,btc.omft.near,2025-09-01 21:41:40
138503,1021791,btc.omft.near,2025-09-01 21:41:40
138504,109622,btc.omft.near,2025-09-01 21:41:40
138538,53761,btc.omft.near,2025-09-01 21:50:11
138568,1800000,btc.omft.near,2025-09-01 22:00:46
138569,90000,btc.omft.near,2025-09-01 22:00:46
138570,25830,btc.omft.near,2025-09-01 22:00:46
138571,120000,btc.omft.near,2025-09-01 22:00:46
138572,400000,btc.omft.near,2025-09-01 22:00:46
138573,10500,btc.omft.near,2025-09-01 22:00:46
138574,1940000,btc.omft.near,2025-09-01 22:00:46
138603,1000000,btc.omft.near,2025-09-01 22:12:07
138604,64800,btc.omft.near,2025-09-01 22:12:07
138605,9980000,btc.omft.near,2025-09-01 22:12:07
138606,1632388,btc.omft.near,2025-09-01 22:12:08
138622,10700000,btc.omft.near,2025-09-01 22:20:08
138623,11865,btc.omft.near,2025-09-01 22:20:08
138624,18696,btc.omft.near,2025-09-01 22:20:08
138625,28000,btc.omft.near,2025-09-01 22:20:08
138626,2300000,btc.omft.near,2025-09-01 22:20:08
138627,59100,btc.omft.near,2025-09-01 22:20:08
138628,52801,btc.omft.near,2025-09-01 22:20:08
138629,118926,btc.omft.near,2025-09-01 22:20:08
138630,81000,btc.omft.near,2025-09-01 22:20:08
138656,1094000,btc.omft.near,2025-09-01 22:31:36
138657,16854,btc.omft.near,2025-09-01 22:31:37
138658,12496,btc.omft.near,2025-09-01 22:31:37
138659,56561,btc.omft.near,2025-09-01 22:31:37
138660,190000,btc.omft.near,2025-09-01 22:31:37
138677,10000,btc.omft.near,2025-09-01 22:36:42
138678,608000,btc.omft.near,2025-09-01 22:36:42
138679,168912,btc.omft.near,2025-09-01 22:36:42
138720,200000,btc.omft.near,2025-09-01 22:56:41
138721,176000,btc.omft.near,2025-09-01 22:56:41
138722,32500,btc.omft.near,2025-09-01 22:56:41
138723,300000,btc.omft.near,2025-09-01 22:56:41
138724,80000,btc.omft.near,2025-09-01 22:56:41
138725,2777000,btc.omft.near,2025-09-01 22:56:41
138726,12047,btc.omft.near,2025-09-01 22:56:41
138727,5700000,btc.omft.near,2025-09-01 22:56:42
138743,500000,btc.omft.near,2025-09-01 23:06:45
138744,233000,btc.omft.near,2025-09-01 23:06:45
138745,21000,btc.omft.near,2025-09-01 23:06:45
138746,19000,btc.omft.near,2025-09-01 23:06:45
138747,737553,btc.omft.near,2025-09-01 23:06:45
138793,14608,btc.omft.near,2025-09-01 23:30:39
138794,100000,btc.omft.near,2025-09-01 23:30:39
138795,2900000,btc.omft.near,2025-09-01 23:30:39
138796,35000,btc.omft.near,2025-09-01 23:30:39
138797,40000,btc.omft.near,2025-09-01 23:30:39
138798,349722,btc.omft.near,2025-09-01 23:30:39
138799,14608,btc.omft.near,2025-09-01 23:30:39
138800,53000,btc.omft.near,2025-09-01 23:30:39
138801,14608,btc.omft.near,2025-09-01 23:30:39
138816,12000,btc.omft.near,2025-09-01 23:38:35
138817,6783500,btc.omft.near,2025-09-01 23:38:35
138839,17473,btc.omft.near,2025-09-01 23:48:10
138841,1057526,btc.omft.near,2025-09-01 23:49:03
138858,1100000,btc.omft.near,2025-09-02 0:00:16
138859,3195932,btc.omft.near,2025-09-02 0:00:16
138881,10000,btc.omft.near,2025-09-02 0:11:25
138882,190000,btc.omft.near,2025-09-02 0:11:25
138887,2400000,btc.omft.near,2025-09-02 0:15:18
138893,6350000,btc.omft.near,2025-09-02 0:19:51
138904,10000,btc.omft.near,2025-09-02 0:27:14
138913,54258,btc.omft.near,2025-09-02 0:30:52
138922,28531,btc.omft.near,2025-09-02 0:37:27
138923,11200,btc.omft.near,2025-09-02 0:37:27
138993,1850000,btc.omft.near,2025-09-02 1:13:06
138994,45000,btc.omft.near,2025-09-02 1:13:06
138995,17000,btc.omft.near,2025-09-02 1:13:06
138996,100000,btc.omft.near,2025-09-02 1:13:07
139024,15000000,btc.omft.near,2025-09-02 1:29:46
139025,30500,btc.omft.near,2025-09-02 1:29:46
139026,10000,btc.omft.near,2025-09-02 1:29:46
139039,60000,btc.omft.near,2025-09-02 1:35:39
139046,20000,btc.omft.near,2025-09-02 1:41:11
139078,12329,btc.omft.near,2025-09-02 2:01:14
139079,100000,btc.omft.near,2025-09-02 2:01:14
139080,1379701,btc.omft.near,2025-09-02 2:01:14
139081,20000000,btc.omft.near,2025-09-02 2:01:14
139082,59000,btc.omft.near,2025-09-02 2:01:14
139110,66000,btc.omft.near,2025-09-02 2:16:04
139111,3000000,btc.omft.near,2025-09-02 2:16:04
139112,209923,btc.omft.near,2025-09-02 2:16:04
139123,15000000,btc.omft.near,2025-09-02 2:20:50
139138,10000,btc.omft.near,2025-09-02 2:32:43
139157,200000,btc.omft.near,2025-09-02 2:50:35
139158,21730,btc.omft.near,2025-09-02 2:50:35
139159,137052,btc.omft.near,2025-09-02 2:50:35
139160,10000,btc.omft.near,2025-09-02 2:50:36
139190,359784,btc.omft.near,2025-09-02 3:10:32
139191,365000,btc.omft.near,2025-09-02 3:10:32
139192,10000,btc.omft.near,2025-09-02 3:10:32
139193,30000,btc.omft.near,2025-09-02 3:10:32
139194,12000,btc.omft.near,2025-09-02 3:10:32
139195,40000,btc.omft.near,2025-09-02 3:10:32
139210,136407,btc.omft.near,2025-09-02 3:19:07
139211,220000,btc.omft.near,2025-09-02 3:19:07
139212,67374,btc.omft.near,2025-09-02 3:19:07
139213,300000,btc.omft.near,2025-09-02 3:19:07
139214,54842,btc.omft.near,2025-09-02 3:19:07
139215,32100,btc.omft.near,2025-09-02 3:19:07
139251,20000,btc.omft.near,2025-09-02 3:40:32
139252,783047,btc.omft.near,2025-09-02 3:40:32
139253,26000,btc.omft.near,2025-09-02 3:40:32
139254,6820000,btc.omft.near,2025-09-02 3:40:32
139255,20000000,btc.omft.near,2025-09-02 3:40:32
139256,100000,btc.omft.near,2025-09-02 3:40:32
139257,225263,btc.omft.near,2025-09-02 3:40:32
139287,300000,btc.omft.near,2025-09-02 4:00:03
139288,26000,btc.omft.near,2025-09-02 4:00:03
139289,80000,btc.omft.near,2025-09-02 4:00:03
139290,400000,btc.omft.near,2025-09-02 4:00:03
139291,13587,btc.omft.near,2025-09-02 4:00:03
139296,26419,btc.omft.near,2025-09-02 4:06:06
139297,10000,btc.omft.near,2025-09-02 4:06:06
139298,540000,btc.omft.near,2025-09-02 4:06:06
139299,389288,btc.omft.near,2025-09-02 4:06:06
139300,1234441,btc.omft.near,2025-09-02 4:06:06
139306,86436,btc.omft.near,2025-09-02 4:10:39
139312,5893250,btc.omft.near,2025-09-02 4:14:16
139313,1706634,btc.omft.near,2025-09-02 4:14:16
139314,12726,btc.omft.near,2025-09-02 4:14:16
139323,11500,btc.omft.near,2025-09-02 4:20:41
139324,725761,btc.omft.near,2025-09-02 4:20:41
139325,307245,btc.omft.near,2025-09-02 4:20:41
139361,14000,btc.omft.near,2025-09-02 4:41:03
139362,150000,btc.omft.near,2025-09-02 4:41:03
139363,1004000,btc.omft.near,2025-09-02 4:41:03
139364,750000,btc.omft.near,2025-09-02 4:41:03
139365,75447,btc.omft.near,2025-09-02 4:41:03
139389,6165874,btc.omft.near,2025-09-02 4:54:37
139390,17496,btc.omft.near,2025-09-02 4:54:37
139428,500000,btc.omft.near,2025-09-02 5:12:07
139435,300000,btc.omft.near,2025-09-02 5:18:18
139436,658568,btc.omft.near,2025-09-02 5:18:18
139441,40000,btc.omft.near,2025-09-02 5:22:19
139470,37152,btc.omft.near,2025-09-02 5:36:13
139471,300000,btc.omft.near,2025-09-02 5:36:14
139472,2458000,btc.omft.near,2025-09-02 5:36:14
139473,35560,btc.omft.near,2025-09-02 5:36:14
139474,35560,btc.omft.near,2025-09-02 5:36:14
139475,35560,btc.omft.near,2025-09-02 5:36:14
139476,10000,btc.omft.near,2025-09-02 5:36:15
139488,37000,btc.omft.near,2025-09-02 5:45:15
139489,800000,btc.omft.near,2025-09-02 5:45:15
139490,950000,btc.omft.near,2025-09-02 5:45:15
139498,1000000,btc.omft.near,2025-09-02 5:50:48
139499,55000,btc.omft.near,2025-09-02 5:50:48
139526,15000,btc.omft.near,2025-09-02 6:00:12
139540,38000,btc.omft.near,2025-09-02 6:09:59
139541,22000,btc.omft.near,2025-09-02 6:09:59
139549,100000,btc.omft.near,2025-09-02 6:12:24
139551,48000,btc.omft.near,2025-09-02 6:12:24
139566,16000,btc.omft.near,2025-09-02 6:19:20
139567,650000,btc.omft.near,2025-09-02 6:19:20
139568,10000,btc.omft.near,2025-09-02 6:19:20
139595,3000000,btc.omft.near,2025-09-02 6:36:48
139596,88784,btc.omft.near,2025-09-02 6:36:48
139626,28000,btc.omft.near,2025-09-02 6:49:31
139627,13000,btc.omft.near,2025-09-02 6:49:31
139644,19815836,btc.omft.near,2025-09-02 6:57:50
139653,2540000,btc.omft.near,2025-09-02 7:00:52
